c,score,sensitivity,specificity
1,0.9516129032258065,0.9666666666666667,0.5
10,0.9354838709677419,0.9333333333333333,1.0
100,0.9516129032258065,0.95,1.0
1000,0.9354838709677419,0.9333333333333333,1.0
10000,0.9354838709677419,0.9333333333333333,1.0
100000,0.9193548387096774,0.9166666666666666,1.0
1000000,0.9193548387096774,0.9166666666666666,1.0
10000000,0.9193548387096774,0.9166666666666666,1.0
100000000,0.9193548387096774,0.9166666666666666,1.0
1000000000,0.9193548387096774,0.9166666666666666,1.0
